City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,sitia,35.2,26.0986,72.99,63,79,2.73,GR,1699519450
334,zheleznogorsk-ilimskiy,56.5768,104.1217,13.37,75,97,4.0,RU,1699519451
335,dudley park,-34.8801,138.5794,75.11,57,0,8.05,AU,1699519451
336,tralee,52.2704,-9.7026,47.39,84,100,25.86,IE,1699519451
337,roma,43.2128,-75.4557,37.09,88,100,14.97,US,1699519452
338,chul'man,56.8479,124.9104,-16.83,100,90,2.91,RU,1699519452
339,bilovods'k,49.2085,39.5897,51.49,81,100,16.35,UA,1699519452
340,uturoa,-16.7333,-151.4333,79.43,78,88,19.42,PF,1699519453
341,charters towers,-20.1,146.2667,76.39,60,73,20.4,AU,1699519258
342,monrovia,6.3005,-10.7969,78.57,77,99,3.4,LR,1699519288
343,tyukhtet,56.5389,89.3011,19.71,77,0,9.51,RU,1699519454
344,beipiao,41.7919,120.7792,23.11,64,0,6.78,CN,1699519454
345,phek,25.6667,94.5,67.98,37,19,2.64,IN,1699519454
346,new norfolk,-42.7826,147.0587,65.7,95,12,3.13,AU,1699519455
347,fort frances,48.5999,-93.4003,34.02,86,100,9.22,CA,1699519455
348,pemangkat,1.1667,108.9667,83.64,73,87,6.64,ID,1699519455
349,lerma,42.0261,-3.7598,45.16,76,2,9.93,ES,1699519456
350,yulinshi,38.2906,109.7494,36.79,23,9,9.53,CN,1699519456
351,thames,-37.1333,175.5333,52.07,87,19,3.22,NZ,1699519456
352,dauphin,51.1494,-100.0502,30.34,93,100,8.05,CA,1699519457
353,saint-pierre,-21.3393,55.4781,83.57,65,75,8.05,RE,1699519457
354,vila velha,-20.3297,-40.2925,67.95,90,20,3.44,BR,1699519457
355,frontera,26.9333,-101.45,71.13,61,98,2.71,MX,1699519458
356,benguela,-12.5763,13.4055,81.39,66,100,5.55,AO,1699519449
357,kupino,54.3663,77.2981,35.08,73,18,10.78,RU,1699519458
358,ketanggungan,-6.9383,108.891,88.84,57,97,7.54,ID,1699519459
359,laojunmiao,39.8333,97.7333,41.94,26,100,3.83,CN,1699519459
360,vilyuchinsk,52.9306,158.4028,28.67,77,40,11.79,RU,1699519459
